#Query	#lca rank	#lca taxon	#superkingdom	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV123	species	Clupea harengus	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV125	species	Mallotus villosus	Eukaryota	Metazoa	Chordata	Actinopteri	Osmeriformes	Salangidae	Mallotus	Mallotus villosus	best hit
ASV127	species	Ophiodon elongatus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Hexagrammidae	Ophiodon	Ophiodon elongatus	best hit
ASV128	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV129	species	Oncorhynchus nerka	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus nerka	best hit
ASV130	species	Oncorhynchus nerka	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus nerka	best hit
ASV131	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV132	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV134	species	Ascelichthys rhodorus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Ascelichthys	Ascelichthys rhodorus	best hit
ASV135	species	Diaphus theta	Eukaryota	Metazoa	Chordata	Actinopteri	Myctophiformes	Myctophidae	Diaphus	Diaphus theta	best hit
ASV136	family	Stichaeidae	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Stichaeidae	no identification	no identification	lca
ASV139	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV140	species	Mirounga angustirostris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Phocidae	Mirounga	Mirounga angustirostris	best hit
ASV141	species	Alosa fallax	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa fallax	best hit
ASV142	species	Gadus chalcogrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV143	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
