"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV412",0.268848884516653,0.193260103523309,0.0164281524007432,0.168676146380727,0.744252746557045,0.976601822910059,0.998332316686001
"ASV413",0.271841607583516,0.191516746888588,0.0166396072886254,0.171825256670536,0.743884824653597,0.975996611449431,0.998246294819986
"ASV414",0.295161265874024,0.181774278352199,0.0171997483942353,0.19462237501463,0.754153480153343,0.974962566978282,0.997981067983713
"ASV415",0.233961597745256,0.203253499522071,0.0150405574870003,0.1391620702598,0.729778774168422,0.978316209619699,0.998675024467478
"ASV416",0.245832474621411,0.203391836447855,0.0152918901026706,0.147177606189766,0.73940586351758,0.979013722217209,0.998697896034517
"ASV417",0.26740655901013,0.190428070160555,0.0163874945615784,0.169102711341541,0.741826303288702,0.975942689442153,0.998257077198732
"ASV418",0.234630596078392,0.208861560841271,0.0149224840123359,0.137040844514189,0.734575352505659,0.979687785545959,0.998811722447339
"ASV419",0.253059805859387,0.194787999802671,0.0155273059346923,0.156386892708946,0.739804220169255,0.977582996537047,0.998507152051819
"ASV420",0.263125303087755,0.193963238046711,0.0157893767169328,0.163978471762137,0.746327916693112,0.977842325281652,0.998491615241024
"ASV421",0.25280205456232,0.202399996299086,0.01604862411619,0.15269333559523,0.737102150656482,0.977589340986045,0.998528712509081
"ASV422",0.258420120314059,0.204261021770497,0.0160835215062964,0.155643633818609,0.743238167669133,0.978474171765476,0.998601023070171
"ASV423",0.238721426362898,0.198127863300347,0.015500321598477,0.144889999992142,0.726707408931142,0.976597167307662,0.998475332983536
"ASV424",0.217542704802932,0.224551093229138,0.0148304289013571,0.119396327464838,0.722848356668933,0.980457515509146,0.998964900827192
"ASV425",0.242732306821472,0.211068431421913,0.0156982477186024,0.141666578719084,0.734654946501644,0.978922700818194,0.998718116787724
"ASV426",0.280145965587431,0.188643617483963,0.0164814531567266,0.179310633279173,0.751947860458155,0.976776224916816,0.998289289049688
"ASV427",0.229864375421052,0.214210695089749,0.014952390284118,0.131577649578381,0.731256950430801,0.979946600283163,0.998861824112167
"ASV428",0.259008035478712,0.197214473926837,0.0160809742431548,0.159560911394733,0.740508326360055,0.977217649490267,0.998451369208454
"ASV429",0.232050438089996,0.210654540677063,0.0150531577614106,0.134595841506675,0.730880656389519,0.979348722649254,0.998793863293087
"ASV430",0.298532143875078,0.170162458580976,0.021187785438002,0.205931350959989,0.710705219260172,0.958800235086825,0.995484388481143
"ASV431",0.286168960938005,0.178682108469381,0.0167573831512945,0.189401941461647,0.74891127014232,0.974407472410287,0.997946684739435
"ASV432",0.231718264594242,0.21516124735948,0.0149326765419625,0.132351047572046,0.733946400482539,0.980349488869346,0.998892866564354
"ASV433",0.286081447333859,0.187561289682369,0.0166362799222781,0.184326112961787,0.755127755015971,0.976788192184627,0.998261629358493
"ASV434",0.231719520439292,0.237805830148544,0.0154132889336497,0.122744955896527,0.736053424389168,0.982325521981655,0.999098047319372
"ASV435",0.247904040637608,0.210048952186757,0.0154848820172265,0.145497937049813,0.7421737901531,0.979864943948017,0.998785984495449
"ASV436",0.265628535214033,0.190417935586036,0.016482756200151,0.167874413559742,0.738995922734027,0.975452224938603,0.998210099156174
"ASV437",0.249012670281053,0.222643388887763,0.015765717543383,0.140423222284466,0.744961688614465,0.981212868856818,0.998930309427804
"ASV438",0.235768903120449,0.208443433523459,0.0154244695565995,0.138161341720109,0.72933985405543,0.978399416248851,0.998688300953724
"ASV439",0.235102645275354,0.193749114624724,0.0150129088432404,0.1442512619487,0.726605344285738,0.976691536584276,0.998488653166862
"ASV440",0.267617280343435,0.198720072522897,0.0162870801834932,0.164913177455337,0.747350698607107,0.977929181055914,0.998495561057056
"ASV441",0.238329653994793,0.196970441186709,0.0152454888813196,0.145062757517748,0.728872430349588,0.97706031849371,0.998520323530271
"ASV442",0.231896659344882,0.193003835443532,0.0148157190147141,0.142318925372291,0.725193103826208,0.976726708185726,0.998503952681714
"ASV443",0.2554951655134,0.197495721993297,0.0153782784520915,0.156688468267638,0.745395645651288,0.978782551075824,0.99862615462944
"ASV444",0.244783911669467,0.198859258042259,0.0153894229148798,0.148646453327368,0.734947207745268,0.977795294183102,0.998572101456244
"ASV445",0.225098433026143,0.219375536956112,0.0149265878194309,0.126301422083772,0.728336465928754,0.980284965700326,0.998916770689772
"ASV446",0.270604985392643,0.189398831950843,0.016060185657599,0.17180037420567,0.748076408334124,0.977015436418193,0.99835928309384
"ASV447",0.237494330137751,0.196955595150265,0.0151807352877598,0.144474785210986,0.728769531861865,0.97714327397816,0.998532002643444
"ASV448",0.303969630138577,0.16746597848936,0.0172293103254906,0.209793484048233,0.752855335020404,0.972184959165829,0.997512630504111
"ASV449",0.24529866537971,0.202064885955033,0.0156563740185718,0.147582526848538,0.733796294139887,0.977722052553379,0.998570909094476
"ASV450",0.238295171959071,0.20934337253755,0.0156393825861563,0.13950172998448,0.729853122689817,0.978272077074906,0.998669011810583
"ASV451",0.253725644616921,0.200562941911939,0.0152980314099659,0.15392618662096,0.746058817401973,0.979357343707355,0.998696466377723
"ASV452",0.257660618762335,0.190716605524304,0.0161329605131043,0.161895997765148,0.735182472399129,0.975549339161394,0.998259097618019
"ASV453",0.236311267063905,0.213095382060378,0.0152059098518009,0.136344756449401,0.734659696256832,0.979821949504131,0.998827163647673
"ASV454",0.239740534720115,0.208019230999876,0.0153089430420167,0.140943566209563,0.734876976798214,0.97909199171881,0.998737600166463
"ASV455",0.250051104418641,0.202800699758386,0.0156382039838522,0.150458928179115,0.739310795151206,0.978454032007991,0.998626722357255
"ASV456",0.255871316057244,0.195074433421298,0.0157822213380019,0.158313351800048,0.739767987738471,0.977254005133171,0.998462335964702
"ASV457",0.252815065723495,0.192698383008442,0.0157270758964116,0.157324409399413,0.736076772466047,0.976560736810928,0.998395876979601
"ASV458",0.260395766834005,0.191945103364956,0.0159934362590154,0.163157446722455,0.740220187965359,0.976549803453298,0.998359611519501
"ASV459",0.2775650461698,0.198691630861427,0.0167038099051746,0.172135764207138,0.752169387548327,0.977925227700471,0.998455916563647
"ASV460",0.280376287345327,0.179052762413174,0.0166081903529841,0.184787511228821,0.745374154185725,0.974229700400647,0.997955912864268
"ASV461",0.263881226184726,0.185211590667996,0.0161942957972539,0.169188104139427,0.7376804902214,0.974895601653651,0.998138718669923
"ASV462",0.266428512457108,0.187546743480235,0.0160401293241851,0.169750113449409,0.743275241772923,0.976189337386293,0.998280471682988
"ASV463",0.264434445590873,0.169033357353411,0.0159339410720434,0.177941544388922,0.731135554320211,0.971560914097157,0.997675417328149
"ASV464",0.250973049853413,0.200518123985479,0.0158336598000761,0.152267977454686,0.736852895313987,0.977605103791117,0.998532710930183
"ASV465",0.242924753703265,0.209700037885549,0.0158997007321187,0.142502751925251,0.731851446940419,0.978177071042013,0.998643408665645
"ASV466",0.258210026471479,0.202467504286957,0.016393748502535,0.156513438535678,0.738653209941591,0.977298535510813,0.998477298176803
"ASV467",0.272882669332132,0.175468727789821,0.0162599977331305,0.180985386696062,0.739931740230605,0.973426639740493,0.997884217816881
"ASV468",0.275434327981876,0.174246777062407,0.0165253718578473,0.183680079137378,0.738610820001628,0.972592067993556,0.997761043313205
"ASV469",0.248292466286395,0.18077430417188,0.0154574212274843,0.159870416471318,0.727858608644964,0.974087172231076,0.998110855536676
"ASV470",0.247267730268185,0.188279139739391,0.0154382586680156,0.155465962277365,0.731404231542443,0.975775682624116,0.998324543470331
"ASV471",0.242006883672497,0.209409004139049,0.0151473874498464,0.141748618887745,0.739877242411634,0.979993781609176,0.998816004142012
"ASV472",0.303481205830683,0.162882875243285,0.0212399329799691,0.214208322097331,0.709658937560046,0.956361619657036,0.994936746693925
"ASV473",0.253030455799252,0.196193759311622,0.0154992561930291,0.155664907566889,0.740821623443093,0.977932407956725,0.998546632472058
"ASV474",0.263677125666174,0.192869964631933,0.0157564563848227,0.164914204015693,0.746691777319518,0.977778003900533,0.998479743225496
"ASV475",0.261823655244272,0.182501460728339,0.0158300679501729,0.168939782097603,0.738316444286952,0.975099048047364,0.99816345231518
"ASV476",0.212412194254001,0.219840602527899,0.0144942262686753,0.118009479051806,0.71938089898584,0.980046624918777,0.998938500770534
"ASV477",0.270183815190228,0.189585253475619,0.0163612715255276,0.171529242298438,0.74436988168341,0.976164168620526,0.99826684141902
"ASV478",0.253656380489484,0.195182405479424,0.0159143331864581,0.156765046158698,0.736006447233756,0.97664075081472,0.998407628980642
"ASV479",0.264372665056336,0.180184570889404,0.0158776659452019,0.172020194253782,0.738919916228512,0.974719135358,0.9980996989159
"ASV480",0.262838958291167,0.166648243233549,0.0154458333204804,0.177779568936148,0.733766077626758,0.97232320754698,0.997771894673656
"ASV481",0.252401642453288,0.192008804173976,0.0155539410873026,0.157303730180502,0.737366793200611,0.976866815146816,0.99842800617061
"ASV482",0.215203690028625,0.218584708497023,0.01442516460591,0.120236323175206,0.7231465411713,0.980361727183783,0.998952979252862
"ASV483",0.296321997689971,0.176202158281071,0.0170920270176076,0.198667215553649,0.753053585153869,0.974031900618867,0.997837197751974
"ASV484",0.254580829966835,0.190524128983132,0.0158600709509368,0.159698687868137,0.735144676442127,0.97592563655056,0.998313806698308
"ASV485",0.278282175352133,0.197035792875943,0.0165870122418564,0.173480875802781,0.753307101047723,0.977985923199455,0.998455173426331
"ASV486",0.227917019039337,0.211003852672549,0.015057149319825,0.131749603829397,0.726367215944699,0.978919776089831,0.998770552270928
"ASV487",0.28133462699871,0.182626838762764,0.0165330932535554,0.183499467860867,0.749181812529668,0.975429288781025,0.998108310975273
"ASV488",0.251814564247244,0.189727638120495,0.0161557700271415,0.158257683218727,0.728328807118426,0.974508037426157,0.998168851334498
"ASV489",0.255423850698543,0.190283976102145,0.0158714681111106,0.160419575816605,0.735742833127415,0.975944107495238,0.998311277463221
"ASV490",0.224777170289394,0.205714662454841,0.0146644166333523,0.131854590804385,0.725507241479514,0.978721539248811,0.998752240883771
"ASV491",0.247519645364133,0.195914283309874,0.0157852886382623,0.152090324087114,0.73153754855942,0.976412644803216,0.998412350175928
"ASV492",0.264781763755351,0.191928804867493,0.0164602528314616,0.166479645146451,0.739216205206158,0.975745096427626,0.99825153390808
"ASV493",0.265303559802426,0.174065998780565,0.0161941290433625,0.176052597193624,0.73231024638997,0.972241849093168,0.997775008133736
"ASV494",0.265513860414165,0.183973851324636,0.0160910654235471,0.170970470275262,0.739785018041225,0.975119311448045,0.998152521395804
"ASV495",0.25778374635308,0.195432494058991,0.0161846446166062,0.159638578929491,0.737180592444451,0.976423621175904,0.998367382328898
"ASV496",0.269969762455551,0.180379910930806,0.0160664481850959,0.176109987748134,0.742331347741674,0.974892749272807,0.99809281955796
"ASV497",0.243703808469469,0.208590264046855,0.0155225158954521,0.143396075289554,0.736723990174762,0.979069307777836,0.99872274157926
"ASV498",0.28744801823854,0.180957811754429,0.0163365315243199,0.188887440580359,0.755977801180719,0.976310787154045,0.998179404788144
