"","psi","p11","p10","PoO.0","PoO.1","PoO.2"
"ASV128",0.307824437423453,0.243142197977644,0.0409378011821155,0.216891998483659,0.675792432438604,0.940075521855807
"ASV129",0.314199647460335,0.242785644189221,0.0416048874888671,0.222391222040184,0.678696869851577,0.939764340584147
"ASV130",0.299230379383171,0.253733039296394,0.0410860556852732,0.205478065884251,0.672371472378975,0.942147348173584
"ASV132",0.322751831060466,0.24174815290716,0.0414655784868188,0.229712754485145,0.687291890138004,0.941855009371428
"ASV134",0.314084903338434,0.245302494425839,0.0411719866537857,0.220994563609009,0.682275485520996,0.942044527864446
"ASV136",0.40672803243452,0.273284110532121,0.0579302207178639,0.289750588992547,0.713863097045983,0.938487973155241
"ASV137",0.331906054111046,0.253307004446292,0.0487507775730006,0.234365903518933,0.669557027541016,0.930615666996738
"ASV139",0.315180043126567,0.244385139094184,0.0412093510167421,0.222303320335657,0.682639240052615,0.941813204984498
"ASV142",0.283356951841535,0.615639235118397,0.0463882333351732,0.0603571452964731,0.678975981320494,0.985844008030197
"ASV143",0.310158873607458,0.254148123542233,0.0414941244772851,0.213984320743951,0.681818191257222,0.944030637971846
"ASV144",0.3327985425003,0.261973944811239,0.0496797719592052,0.231262795481897,0.671344563726599,0.932751223706987
"ASV145",0.303238883501725,0.250837934385865,0.0419880378414531,0.210198124339819,0.670311801848821,0.939512411889146
"ASV146",0.300129496700972,0.249371603270426,0.0407207198526586,0.207966882988588,0.672663012387588,0.941460626454983
"ASV148",0.303314386688266,0.249132672889585,0.0414089453528972,0.210812376351011,0.672318186492267,0.940330639454566
"ASV152",0.304137041340904,0.251654558220364,0.041482150626708,0.210365890733423,0.674277570357934,0.941470597609225
"ASV153",0.313813245955112,0.245799686414132,0.0408851106858427,0.220448007517403,0.683747190767067,0.942953495211922
"ASV154",0.308367646942088,0.253848879742002,0.040960800955722,0.212525435559422,0.68251588052778,0.944824771180392
"ASV155",0.311594816077158,0.247316169979491,0.0410225514129532,0.218041114904362,0.681711727333644,0.942698370027085
"ASV158",0.331687206929367,0.257844512187675,0.0493484619100271,0.232233636982108,0.669361224215876,0.931268263933378
"ASV160",0.322579254825805,0.23794912110864,0.0413744331272133,0.231311918597061,0.685240884759603,0.940298698889085
"ASV162",0.31521648971937,0.24421556847224,0.0410662319808698,0.222358494788659,0.683295065337902,0.942126894581527
"ASV163",0.330798688342669,0.235376102857848,0.0415576830876904,0.239317389595433,0.690744460503612,0.9406784978736
"ASV164",0.311195613571556,0.250798221019204,0.0414578685256656,0.216302371960368,0.681143147862376,0.942967278389818
"ASV165",0.309229325362994,0.250993130327356,0.0414138208297551,0.21464550197285,0.679478199408248,0.942670262070065
"ASV166",0.305441371979914,0.255016045427266,0.041297116786905,0.209829113793027,0.678480278604592,0.943723110005915
"ASV168",0.307010771771113,0.250201007288907,0.0414950612273536,0.213279298236551,0.676337090511231,0.941544112999362
"ASV171",0.322257062379669,0.240497835992916,0.0416016401668935,0.229945458784227,0.685368091499432,0.940795290788748
